embedding_run_id,article_embedding_run_id,model_id,chunking_method,chunking_strategy,min_chunks_per_article,num_articles,mean_num_chunks,mean_total_chunk_length,mean_cosine_similarity,median_cosine_similarity,mean_representation_degradation,median_representation_degradation
qwen3_paragraph,qwen3_noop,Qwen/Qwen3-Embedding-0.6B,paragraph,paragraph,5,52708,12.39872505122562,3401.4620361235484,0.8725816824156734,0.8790284395217896,0.1274183175843267,0.12097156047821045
qwen3_recursive_1000,qwen3_noop,Qwen/Qwen3-Embedding-0.6B,split,split,5,21932,8.238737917198614,5923.502142987416,0.893327212977231,0.8978075385093689,0.10667278702276892,0.1021924614906311
qwen3_recursive_1000_0,qwen3_noop,Qwen/Qwen3-Embedding-0.6B,split,split,5,21698,8.20794543275878,5803.590330906074,0.8939325040233268,0.8984626233577728,0.10606749597667318,0.10153737664222717
qwen3_recursive_400,qwen3_noop,Qwen/Qwen3-Embedding-0.6B,split,split,5,55131,12.660735339464186,3794.705973046018,0.8664739223532967,0.8697648048400879,0.13352607764670327,0.1302351951599121
qwen3_recursive_400_0,qwen3_noop,Qwen/Qwen3-Embedding-0.6B,split,split,5,54167,12.373973083242564,3532.6364206989497,0.8688112190354842,0.8721225261688232,0.13118878096451575,0.12787747383117676
qwen3_sentence,qwen3_noop,Qwen/Qwen3-Embedding-0.6B,sentence,sentence,5,88511,29.72250906666968,2466.396549581408,0.7995076219222418,0.8001187443733215,0.20049237807775824,0.19988125562667847
qwen3_sentence_4,qwen3_noop,Qwen/Qwen3-Embedding-0.6B,sentence,sentence,5,59040,13.327235772357724,4296.978963414635,0.8682208577731276,0.8726270198822021,0.1317791422268724,0.12737298011779785
qwen3_sentence_4_0,qwen3_noop,Qwen/Qwen3-Embedding-0.6B,sentence,sentence,5,50795,11.392578009646618,3607.327217245792,0.8679137620016256,0.8718520402908325,0.13208623799837438,0.12814795970916748
qwen3_token_128,qwen3_noop,Qwen/Qwen3-Embedding-0.6B,token,token_window_128_overlap_16,5,49210,11.552956716114611,4302.5943913838655,0.8683296879831065,0.8718275129795074,0.13167031201689353,0.12817248702049255
qwen3_token_128_0,qwen3_noop,Qwen/Qwen3-Embedding-0.6B,token,token_window_128,5,45418,10.796490378264124,3982.689440310009,0.8682685815924209,0.8716336190700531,0.1317314184075791,0.1283663809299469
qwen3_token_256_0,qwen3_noop,Qwen/Qwen3-Embedding-0.6B,token,token_window_256,5,22313,8.035898355218931,5787.850132209923,0.8890371077380079,0.8929920792579651,0.11096289226199203,0.10700792074203491
qwen3_token_256_128,qwen3_noop,Qwen/Qwen3-Embedding-0.6B,token,token_window_256_overlap_128,5,37447,11.030469730552515,8330.674499959943,0.8904881366923338,0.8952949643135071,0.10951186330766612,0.10470503568649292
qwen3_token_256_192,qwen3_noop,Qwen/Qwen3-Embedding-0.6B,token,token_window_256_overlap_192,5,50573,16.738081585035495,12861.641963102842,0.8931583881830751,0.8982497453689575,0.1068416118169249,0.10175025463104248
qwen3_token_256_32,qwen3_noop,Qwen/Qwen3-Embedding-0.6B,token,token_window_256_overlap_32,5,25314,8.464565062811094,6174.596310342104,0.887488086399068,0.8917273581027985,0.11251191360093203,0.10827264189720154
qwen3_token_256_64,qwen3_noop,Qwen/Qwen3-Embedding-0.6B,token,token_window_256_overlap_64,5,28713,9.042489464702399,6678.98735764288,0.8865277814864282,0.8908980488777161,0.11347221851357181,0.10910195112228394
qwen3_token_32,qwen3_noop,Qwen/Qwen3-Embedding-0.6B,token,token_window_32,5,90183,25.972200969140527,2480.605901333954,0.7900530413136347,0.7904906272888184,0.20994695868636526,0.20950937271118164
